mode,N,Nb,Lb,Nh,N_ell,Nc,coverage_mean,coverage_std,coverage_min,coverage_max,riae_matrix_mean,riae_matrix_std,riae_matrix_min,riae_matrix_max,l2_matrix_mean,l2_matrix_std,l2_matrix_min,l2_matrix_max,vi_coverage_mean,vi_coverage_std,vi_coverage_min,vi_coverage_max,vi_riae_matrix_mean,vi_riae_matrix_std,vi_riae_matrix_min,vi_riae_matrix_max,vi_l2_matrix_mean,vi_l2_matrix_std,vi_l2_matrix_min,vi_l2_matrix_max,ess_median_mean,ess_median_std,ess_median_min,ess_median_max,runtime_mean,runtime_std,runtime_min,runtime_max,n_seeds
large,16384,1,16384.0,2,8192.0,4096.0,0.9082864051330982,0.03107408672933485,0.8156652011073116,0.9745155512131575,0.1121243322290827,0.00452846245101902,0.10167307407739341,0.1293279100090333,0.11536535766163508,0.005620221104152232,0.10421149382302262,0.1356211971470531,0.5750695339573568,0.02813184979452962,0.4685447538403083,0.6484285946914183,0.10502098693328937,0.058335922359293226,0.04515148950177449,0.4390527082226155,1.3842057822460052,1.899709784983716,0.053857443963455195,13.133563658314857,24056.584297188754,2807.493238623399,15447.79,32328.85,9.214687253576685,1.6911236331831139,7.016037702560425,17.05671501159668,498
large,16384,1,16384.0,4,8192.0,2048.0,0.9103182579345295,0.03025708693636903,0.8295861844248941,0.9807754969045291,0.11217069875585191,0.004533665783566144,0.10091180762856129,0.12956469720172747,0.11496898170602592,0.005463478718288685,0.10445759011527055,0.13671251879094456,0.5758340192528559,0.02637102171863601,0.4831649831649832,0.6522211360921039,0.09124986761210252,0.037295616696794404,0.04112485951604441,0.2538580212284357,0.8639311558621935,1.0795535065721278,0.05340755615062135,6.141359112677128,26352.376385542168,3080.8056750657433,11786.225,33242.53,9.03162127709293,1.561069070554904,6.85687518119812,15.350830793380737,498
large,16384,1,16384.0,8,8192.0,1024.0,0.9141248358861668,0.029300947952768937,0.8276799304196565,0.9919547727766905,0.11140648587958969,0.0046937045494997425,0.10004319235431745,0.1308201902702085,0.11407025663698413,0.005614472885266275,0.10358862800405888,0.13763776030060487,0.5767381686617419,0.02639794085303872,0.48140900195694714,0.654707545118504,0.0702367915682857,0.018902223122538076,0.03851494564482443,0.15113795496086524,0.3177228127964268,0.39967411010358284,0.03904733610221419,2.084690751361268,26639.614098196394,3302.8494448373267,9477.41,33489.479999999996,8.917347981600102,1.6497259060372917,6.941011905670166,17.311686038970947,499
large,16384,1,16384.0,16,8192.0,512.0,0.9179151330984409,0.029096712995806996,0.8150326797385621,0.9904139433551198,0.1101924789106172,0.004407121826367737,0.09878600269481855,0.1281689922539986,0.112920771565632,0.005117058137747477,0.10278532238954272,0.13509736755844587,0.575343715753948,0.02696404012147168,0.48562091503267973,0.6782135076252723,0.06006072550405621,0.01875610051509064,0.03188178247513292,0.2579268563830841,0.11419632714292281,0.16834858666800434,0.031520385320316195,2.3723567036855076,25479.807935871744,3524.7681747532915,14270.865,33100.425,8.813971745466183,1.6163504568971474,6.808440923690796,16.692431688308716,499
large,16384,1,16384.0,32,8192.0,256.0,0.9171624088071156,0.030450625097979217,0.8276465441819773,0.9864391951006124,0.10933063757884241,0.004162289038716975,0.09943307026229707,0.12466150671751976,0.11231246702342666,0.004605807313415497,0.10378724589035554,0.13084876336977214,0.5711431612130649,0.02897969672894349,0.4759405074365704,0.652230971128609,0.055701703330968313,0.018762931411962995,0.030356480358471962,0.19262183352635107,0.09651316777380207,0.1345178009784268,0.03117164821075704,1.2257111299710666,24010.63371743487,3499.5826537319235,6854.755,33360.61,8.816128237691814,1.7022336426342595,6.786714553833008,16.978558778762817,499
large,16384,1,16384.0,OFF,8192.0,8192.0,0.9098866298599098,0.03066494201031668,0.8024013024013024,0.9853208519875186,0.11140213686859653,0.00445043692703479,0.10233465679527927,0.12786605155598094,0.11484825826544709,0.005713429440484037,0.10476784090730945,0.13715264655262233,0.581463537575762,0.026413540286193523,0.5042735042735043,0.651702618369285,0.0869233098159024,0.042669450544906215,0.043417521260055505,0.47942879001022276,0.9278957712724528,1.2547503096008175,0.04942838570227018,7.688099988997796,21018.745260521042,2726.422512795136,12365.325,28507.885000000002,9.613712163153059,1.7631879925968978,7.306090593338013,18.331633806228638,499
large,16384,2,8192.0,2,4096.0,2048.0,0.9106773107418269,0.029549556508007224,0.8250787444335831,0.9802867383512545,0.11212879132577741,0.004529798662148355,0.10053897725606449,0.12821634013651892,0.11495012415127098,0.005561557541391465,0.1038763863851547,0.13569509582974246,0.5737509503638536,0.026080914359335315,0.4750190072770718,0.6424459650266102,0.0781651873562038,0.023436682380064255,0.04450673468703859,0.1613145737213348,0.4814717928480288,0.5529475613406036,0.05143361711692795,3.081188096201819,26278.84179,2979.2555147767885,17061.305,31868.18,9.029353950023651,1.719972057376125,6.989425897598267,17.551154136657715,500
large,16384,2,8192.0,4,4096.0,1024.0,0.9142635355512068,0.029634172153262094,0.8280060882800608,0.9820613176777561,0.11138133417695156,0.004520858839827283,0.10032018847968675,0.12908099460626032,0.11403890748718502,0.005396516465260533,0.10380017186040852,0.13569149687116802,0.5749706457925636,0.02527020924157956,0.4824961948249619,0.6642748423570342,0.06734621303037419,0.015811575857901047,0.037982175574629434,0.14612123838720648,0.24052079277095853,0.29202148795688804,0.039036892982563125,2.154728031011473,26404.83672,3360.8129952902864,11664.68,32812.085,8.894046180725098,1.6731206573723734,6.748695611953735,17.41137385368347,500
large,16384,2,8192.0,8,4096.0,512.0,0.9173106753812637,0.029611864884209343,0.8230936819172113,0.9906318082788671,0.11019107021442388,0.004273390761604187,0.10000523936250345,0.1277476155788939,0.11288420470665454,0.004908175175022451,0.10382316053162169,0.1335564417118173,0.5755159041394335,0.02548781337942654,0.4681917211328976,0.6747276688453159,0.05879816312598117,0.01239450652409022,0.037852122601145316,0.13125387788617293,0.09633587945748176,0.07607048739232192,0.03884131631385713,0.7101371215248334,25725.92193,3461.0659636577298,12806.98,32976.54,8.759130763530731,1.7455014382380252,6.758430480957031,24.147947311401367,500
large,16384,2,8192.0,16,4096.0,256.0,0.9171487314085739,0.031128059129252966,0.8254593175853019,0.9886264216972879,0.1093861844569518,0.004121913018566048,0.09916213632984798,0.12439047194037367,0.1123561846758802,0.004564915952173974,0.10349883313953213,0.13024969069033543,0.5714129483814523,0.029841244388886686,0.4461942257217848,0.6570428696412949,0.05398307068697584,0.014787466962088346,0.031007763067565555,0.1366678102332376,0.08143080606902858,0.08921625436644919,0.030704156581801763,0.7557534502976873,23997.021230000002,3787.463697561934,1153.48,31842.934999999998,8.80554194879532,1.6889067655312395,6.831154108047485,17.585439682006836,500
